parcel,x,y,z
7Networks_LH_SomMot_33,-4.02873563218391,-25.741379310344826,68.56896551724137
7Networks_LH_SomMot_34,-14.224215246636774,-11.228699551569505,72.2152466367713
7Networks_LH_SomMot_35,-18.456521739130437,-30.985507246376812,68.70289855072463
7Networks_LH_SomMot_36,-19.00769230769231,-39.98461538461538,71.76153846153846
7Networks_LH_SomMot_37,-11.857142857142861,-26.76785714285714,73.26785714285714
7Networks_LH_DorsAttn_Post_1,-44.94214876033058,-42.29752066115702,-21.294765840220386
7Networks_LH_DorsAttn_Post_2,-48.72222222222223,-55.66666666666667,-15.54248366013072
7Networks_LH_DorsAttn_Post_3,-55.10088495575221,-61.68495575221239,-0.6796460176991133
7Networks_LH_DorsAttn_Post_4,-47.87428571428572,-65.33714285714285,14.925714285714292
7Networks_LH_DorsAttn_Post_5,-26.379746835443044,-70.12658227848101,30.405063291139243
7Networks_LH_DorsAttn_Post_6,-54.8116883116883,-31.298701298701303,44.40909090909091
7Networks_LH_DorsAttn_Post_7,-22.72,-65.512,46.42400000000001
7Networks_LH_DorsAttn_Post_8,-46.2415458937198,-29.101449275362313,43.78743961352657
7Networks_LH_DorsAttn_Post_9,-33.113725490196074,-46.49411764705883,40.87058823529412
7Networks_LH_DorsAttn_Post_10,-28.721518987341767,-58.037974683544306,50.56962025316456
7Networks_LH_DorsAttn_Post_11,-38.968421052631584,-37.53684210526316,49.77543859649123
7Networks_LH_DorsAttn_Post_12,-35.85645933014354,-51.827751196172244,56.02870813397129
7Networks_LH_DorsAttn_Post_13,-14.918781725888323,-71.13197969543148,57.03553299492387
7Networks_LH_DorsAttn_Post_14,-28.211538461538467,-61.19230769230769,62.326923076923066
7Networks_LH_DorsAttn_Post_15,-7.393728222996515,-58.46689895470384,63.12891986062718
7Networks_LH_DorsAttn_Post_16,-19.710914454277287,-56.48377581120944,66.2772861356932
7Networks_LH_DorsAttn_Post_17,-12.939130434782612,-50.59130434782608,71.58260869565217
7Networks_LH_DorsAttn_FEF_1,-40.33009708737865,-2.3430420711974165,51.26860841423948
7Networks_LH_DorsAttn_FEF_2,-25.723163841807903,-0.47457627118643586,55.158192090395474
7Networks_LH_DorsAttn_FEF_3,-30.021390374331546,-8.021390374331546,51.71122994652407
7Networks_LH_DorsAttn_FEF_4,-21.214750542299356,5.149674620390442,64.02169197396964
7Networks_LH_DorsAttn_PrCv_1,-49.44736842105263,6.03947368421052,25.618421052631575
7Networks_LH_DorsAttn_PrCv_2,-49.96981132075473,2.633962264150938,37.97735849056603
7Networks_LH_SalVentAttn_ParOper_1,-54.63959390862945,-31.974619289340097,22.223350253807112
7Networks_LH_SalVentAttn_ParOper_2,-58.00714285714287,-44.192857142857136,27.307142857142864
7Networks_LH_SalVentAttn_ParOper_3,-61.354368932038824,-23.262135922330103,32.76699029126213
7Networks_LH_SalVentAttn_ParOper_4,-61.16438356164383,-36.07534246575342,33.31506849315069
7Networks_LH_SalVentAttn_TempOcc_1,-56.61325966850828,-53.70718232044199,9.988950276243088
7Networks_LH_SalVentAttn_FrOperIns_1,-44.17910447761193,5.298507462686558,-16.21641791044776
7Networks_LH_SalVentAttn_FrOperIns_2,-38.73596673596674,1.92515592515592,-4.615384615384613
7Networks_LH_SalVentAttn_FrOperIns_3,-32.908212560386474,24.57004830917873,-0.8405797101449224
7Networks_LH_SalVentAttn_FrOperIns_4,-39.7913043478261,-14.365217391304341,-1.7478260869565219
7Networks_LH_SalVentAttn_FrOperIns_5,-32.988142292490124,19.162055335968375,8.158102766798422
7Networks_LH_SalVentAttn_FrOperIns_6,-36.48175182481752,4.394160583941613,10.68613138686132
7Networks_LH_SalVentAttn_FrOperIns_7,-43.34969325153375,11.926380368098165,2.2944785276073674
7Networks_LH_SalVentAttn_FrOperIns_8,-50.478764478764475,1.4980694980694977,4.355212355212359
7Networks_LH_SalVentAttn_FrOperIns_9,-52.074074074074076,8.666666666666657,13.345679012345684
7Networks_LH_SalVentAttn_PFCl_1,-28.941176470588232,43.30365659777425,29.545310015898252
7Networks_LH_SalVentAttn_Med_1,-5.9537275064267305,21.80462724935734,31.136246786632384
7Networks_LH_SalVentAttn_Med_2,-6.493702770780857,0.8060453400503746,40.54911838790932
7Networks_LH_SalVentAttn_Med_3,-10.99638989169675,-27.37906137184116,41.12635379061372
7Networks_LH_SalVentAttn_Med_4,-5.310704960835508,9.300261096605738,48.38120104438643
7Networks_LH_SalVentAttn_Med_5,-12.57309941520468,-41.45029239766082,47.30994152046783
7Networks_LH_SalVentAttn_Med_6,-5.844961240310084,-49.116279069767444,57.01550387596899
7Networks_LH_SalVentAttn_Med_7,-8.485436893203882,-2.679611650485441,70.90291262135923
7Networks_LH_Limbic_OFC_1,-12.370860927152322,24.264900662251648,-20.456953642384107
7Networks_LH_Limbic_OFC_2,-23.5645472061657,22.42389210019269,-19.69556840077071
7Networks_LH_Limbic_OFC_3,-10.587479935794548,47.32263242375603,-21.335473515248793
7Networks_LH_Limbic_OFC_4,-3.8799999999999955,23.485000000000014,-19.005000000000003
7Networks_LH_Limbic_OFC_5,-15.441758241758237,64.34725274725275,-8.470329670329669
7Networks_LH_Limbic_TempPole_1,-37.44701986754967,-5.460264900662253,-42.33443708609272
7Networks_LH_Limbic_TempPole_2,-25.272727272727266,5.963636363636368,-38.82597402597403
7Networks_LH_Limbic_TempPole_3,-25.691358024691354,-8.962962962962962,-32.623456790123456
7Networks_LH_Limbic_TempPole_4,-53.84516129032258,-21.380645161290317,-31.427956989247313
7Networks_LH_Limbic_TempPole_5,-40.101010101010104,-21.848484848484844,-26.575757575757578
7Networks_LH_Limbic_TempPole_6,-43.29442282749676,12.933852140077818,-33.32555123216602
7Networks_LH_Limbic_TempPole_7,-31.562945368171015,11.724465558194765,-29.57719714964371
7Networks_LH_Limbic_TempPole_8,-21.095477386934675,-20.7537688442211,-25.7286432160804
7Networks_LH_Cont_Par_1,-28.807272727272732,-74.18909090909091,42.29818181818182
7Networks_LH_Cont_Par_2,-58.321608040201,-41.59798994974874,45.55778894472361
7Networks_LH_Cont_Par_3,-53.21794871794873,-49.61538461538461,44.82051282051282
7Networks_LH_Cont_Par_4,-34.42011834319527,-62.10059171597633,47.88165680473372
7Networks_LH_Cont_Par_5,-42.102564102564116,-52.17948717948718,48.641025641025635
7Networks_LH_Cont_Par_6,-44.991044776119395,-41.343283582089555,46.74029850746268
7Networks_LH_Cont_Temp_1,-60.484693877551024,-48.86734693877551,-9.73979591836735
7Networks_LH_Cont_OFC_1,-27.05202312138728,49.28323699421966,-13.739884393063583
7Networks_LH_Cont_PFCl_1,-41.88550983899822,49.116279069767444,-6.504472271914139
7Networks_LH_Cont_PFCl_2,-47.87335092348286,35.05540897097626,10.474934036939317
7Networks_LH_Cont_PFCl_3,-38.19166666666666,49.05000000000001,11.00833333333334
7Networks_LH_Cont_PFCl_4,-27.594936708860757,56.810126582278485,12.956962025316457
7Networks_LH_Cont_PFCl_5,-41.609403254972875,37.66003616636527,21.89150090415913
7Networks_LH_Cont_PFCl_6,-44.371584699453564,20.21311475409837,27.23770491803279
7Networks_LH_Cont_PFCl_7,-39.173553719008254,7.396694214876021,33.46280991735537
7Networks_LH_Cont_PFCl_8,-35.90954773869346,31.9748743718593,38.53768844221105
7Networks_LH_Cont_PFCv_1,-33.392405063291136,16.468354430379748,-8.34177215189873
7Networks_LH_Cont_pCun_1,-9.07352941176471,-77.08088235294117,45.330882352941174
7Networks_LH_Cont_pCun_2,-4.955555555555549,-63.837037037037035,51.970370370370375
7Networks_LH_Cont_Cing_1,-3.3013698630137043,6.3835616438356055,28.534246575342465
7Networks_LH_Cont_Cing_2,-4.063999999999993,-21.695999999999998,28.944000000000003
7Networks_LH_Cont_PFCmp_1,-3.7149122807017534,28.070175438596493,47.118421052631575
7Networks_LH_Default_Temp_1,-53.94862385321102,-1.6366972477064223,-29.343119266055048
7Networks_LH_Default_Temp_2,-61.53881278538813,-17.593607305936075,-20.470319634703195
7Networks_LH_Default_Temp_3,-60.17712177121771,-36.37638376383764,-18.140221402214024
7Networks_LH_Default_Temp_4,-57.0059171597633,-8.911242603550292,-13.869822485207102
7Networks_LH_Default_Temp_5,-52.756380510440835,6.19025522041764,-11.554524361948957
7Networks_LH_Default_Temp_6,-60.62015503875969,-34.70930232558139,-3.1744186046511658
7Networks_LH_Default_Temp_7,-52.42677824267781,-22.56903765690376,-5.205020920502093
7Networks_LH_Default_Temp_8,-60.51982378854626,-12.572687224669608,-2.7136563876651962
7Networks_LH_Default_Temp_9,-61.712500000000006,-31.912499999999994,4.956249999999997
7Networks_LH_Default_Temp_10,-52.642570281124506,-42.979919678714865,5.100401606425706
7Networks_LH_Default_Par_1,-58.535433070866134,-48.95275590551181,16.212598425196845
7Networks_LH_Default_Par_2,-45.74917491749176,-58.97029702970298,21.06270627062706
7Networks_LH_Default_Par_3,-40.36923076923077,-78.54945054945054,30.22417582417583
7Networks_LH_Default_Par_4,-47.348017621145374,-63.559471365638764,31.308370044052865
7Networks_LH_Default_Par_5,-56.54691689008044,-54.56300268096514,29.66756032171581
7Networks_LH_Default_Par_6,-41.36017897091722,-72.02237136465325,43.32885906040268
7Networks_LH_Default_Par_7,-48.94078947368422,-59.53289473684211,46.940789473684205
7Networks_LH_Default_PFC_1,-35.63895486935867,22.308788598574836,-15.486935866983373
7Networks_LH_Default_PFC_2,-35.9047619047619,36.85714285714286,-12.961038961038959
7Networks_LH_Default_PFC_3,-4.726775956284158,55.05464480874318,-10.131147540983605
7Networks_LH_Default_PFC_4,-5.943965517241381,34.91810344827587,-8.762931034482762
7Networks_LH_Default_PFC_5,-46.18181818181819,31.55485893416929,-10.263322884012538
7Networks_LH_Default_PFC_6,-27.99363057324841,58.35668789808918,-0.7261146496815343
7Networks_LH_Default_PFC_7,-47.71428571428572,28.306878306878303,0.48148148148148096
7Networks_LH_Default_PFC_8,-6.377952755905511,59.21259842519686,6.472440944881896
7Networks_LH_Default_PFC_9,-6.131782945736433,44.73255813953489,5.883720930232556
7Networks_LH_Default_PFC_10,-52.964705882352945,19.22745098039215,11.48627450980392
7Networks_LH_Default_PFC_11,-16.05405405405405,67.02702702702703,8.354354354354356
7Networks_LH_Default_PFC_12,-5.436123348017617,33.700440528634374,20.431718061674005
7Networks_LH_Default_PFC_13,-4.223039215686271,51.350490196078425,27.931372549019613
7Networks_LH_Default_PFC_14,-13.783439490445858,57.47346072186838,30.900212314225058
7Networks_LH_Default_PFC_15,-21.870669745958423,50.23556581986142,31.302540415704385
7Networks_LH_Default_PFC_16,-24.78102189781022,28.25547445255475,43.48175182481752
7Networks_LH_Default_PFC_17,-41.261363636363626,18.950757575757564,47.78409090909091
7Networks_LH_Default_PFC_18,-7.913419913419915,42.709956709956714,51.22077922077922
7Networks_LH_Default_PFC_19,-18.403100775193792,35.844961240310084,48.14728682170542
7Networks_LH_Default_PFC_20,-41.62135922330097,7.092233009708735,48.57766990291262
7Networks_LH_Default_PFC_21,-29.936395759717314,13.611307420494711,57.18021201413427
7Networks_LH_Default_PFC_22,-22.3671875,19.4453125,51.8046875
7Networks_LH_Default_PFC_23,-12.544502617801044,24.18324607329842,61.09947643979058
7Networks_LH_Default_PFC_24,-6.517985611510795,10.422062350119916,64.40287769784172
7Networks_LH_Default_pCunPCC_1,-7.975903614457835,-51.903614457831324,9.228915662650607
7Networks_LH_Default_pCunPCC_2,-13.010989010989007,-60.65201465201466,18.578754578754584
7Networks_LH_Default_pCunPCC_3,-4.16143497757848,-53.35426008968609,20.18834080717488
7Networks_LH_Default_pCunPCC_4,-5.68539325842697,-40.561797752808985,23.258426966292134
7Networks_LH_Default_pCunPCC_5,-10.306451612903231,-69.57258064516128,31.314516129032256
7Networks_LH_Default_pCunPCC_6,-5.32963988919667,-60.18836565096953,30.060941828254855
7Networks_LH_Default_pCunPCC_7,-7.443548387096769,-44.322580645161295,32.016129032258064
7Networks_LH_Default_pCunPCC_8,-3.9568965517241423,-33.88793103448276,37.75
7Networks_LH_Default_pCunPCC_9,-2.58536585365853,-15.541463414634151,37.03414634146341
7Networks_LH_Default_pCunPCC_10,-3.0277777777777715,-68.22222222222223,41.15277777777777
7Networks_LH_Default_pCunPCC_11,-6.746803069053712,-50.864450127877234,42.75703324808184
7Networks_RH_Vis_1,33.52617079889807,-36.50137741046832,-22.892561983471076
7Networks_RH_Vis_2,30.61309523809524,-30.82142857142857,-17.80357142857143
7Networks_RH_Vis_3,35.352112676056336,-53.66760563380282,-17.267605633802816
7Networks_RH_Vis_4,37.0880829015544,-73.33160621761658,-15.4300518134715
7Networks_RH_Vis_5,26.11529933481153,-51.9290465631929,-8.864745011086477
7Networks_RH_Vis_6,23.10943396226415,-73.60754716981131,-10.66415094339623
7Networks_RH_Vis_7,18.191176470588232,-35.867647058823536,-12.514705882352942
7Networks_RH_Vis_8,19.290322580645167,-87.96415770609319,-12.501792114695341
