parcel,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,FDOPA,GABAa,H3,M1,MU,NAT,NMDA,VAChT,mGluR5
aHIP-rh,3.8447721253532947,-2.398527748823694,-2.4420162045730547,-0.32255167865439816,-0.7838567690256272,0.20319952280671966,-0.37463795513321246,0.2862688129947235,-0.15907076374013923,-0.007127494197893626,0.7599545363757086,0.5584304804516512,-1.5337704354362114,-0.2743869465244241,-0.7063605530892378,-0.8494801911779707,-0.9406257761884744,1.1919545053149512,0.5721350313572381,-0.5995569812791487
pHIP-rh,0.6058165779432881,-2.4469556467632274,-2.147721746623814,-0.7173536369488348,-0.64012851272796,-0.5416725939661946,-0.06204241784187645,-0.6335619559090206,-0.14704161924234393,-0.16112017312974414,0.546168148741665,-0.20343563266696135,-1.0267056322635226,-1.0343619303655893,-1.431472299988245,-1.014700281212784,-0.8561760133233098,1.2581501971610007,0.6098224789025521,-1.144120271383742
lAMY-rh,0.8830137932000155,-1.322509929166217,-2.023566154166684,-0.5873173360133933,-0.4870585549759898,1.7357388903544724,-0.47057738637230195,0.3370149202276309,0.690499424201306,0.5958853622730172,0.9868442132919982,1.4140188506036735,-1.4508776566909078,0.5789624630911663,0.9816454335434517,1.8987588031503124,-0.45975295227427576,0.37352560471957863,0.8211907071324266,-0.778015971208572
mAMY-rh,0.9320594050318998,-1.2836055677669092,-2.7253505812790024,-1.0105298785341148,-1.2492669627772082,1.8328850568706998,-0.2602429063207719,0.3299013851033015,0.2889051086601382,0.9114545210812547,1.478812954179462,1.2734317013689942,-2.419822047973147,2.2246457203986223,-0.08042705430890396,1.674325479132078,-0.7683104674056546,0.08245683628039036,1.067404910210134,-1.4057154315806621
THA-DP-rh,-1.9038636779723515,-2.5335004254131075,-3.2093338485587513,-1.258581297356358,-1.7717011974130181,3.1254523844433,3.624589725407416,-2.2075406391105132,-0.09530259473257624,0.3204203393702587,0.3480932623929388,-0.26934350681233854,-2.9389677367285625,-0.5470116061936938,-2.795247535335427,0.9443916921964324,0.9482932500779901,1.7444043011316397,0.5531161633511318,-1.5984434755247332
THA-VP-rh,-2.3895496083005936,-1.8821987985297908,-3.014078850929631,-0.8987466521816031,-1.3065438057743868,5.186191003385964,6.932964202249243,-2.315673829549554,0.24062449915409204,1.011346354387261,0.8347866837193281,0.8880101616528712,-3.168482326117449,0.10877604244002406,-3.194888288432631,2.326553213493054,5.633619214554724,2.862052488199559,1.7432194485076087,-1.2602453617599043
THA-VA-rh,-2.3239898543331807,-1.9882471904803583,-2.8238471383224537,-0.939085397717642,-1.3841893090211819,3.5680321147004,7.974429751272005,-2.1853250815635894,-0.0789443927589523,1.485436351745973,1.2547735137189988,0.03567905953311767,-2.934698099178613,0.203414711294682,-3.2496039400819057,3.147229548351005,2.912946006048028,2.577126258469721,1.198142021901431,-2.217726284298975
THA-DA-rh,-2.527560313858285,-2.5223397381171355,-2.883725434807622,-1.5237962095567326,-1.8568308776537545,2.3761460716058576,6.151658066510273,-3.2932105119780153,-0.25811162637670865,0.5742008161519814,0.4398018855609518,-1.0558107415358977,-3.041089034840585,-0.6707673680357387,-3.424058449749342,2.4104548207588885,1.3232797743798028,2.7148726429335848,1.131487412239535,-2.2933925981000587
NAc-shell-rh,-1.7052528348360478,2.1395864497359014,-2.3578333312687185,3.4999126833177217,2.6796767717004237,3.8556079662808354,1.1233915826612468,1.2720218893685966,4.853091616600263,5.193347087881964,5.551172110641485,4.862354147678297,-0.651155614276225,8.188750068481967,4.172851307987939,5.150877457222212,-0.1573381632131201,1.734833795495874,4.707683285798882,1.0331897098591685
NAc-core-rh,-2.4364592930152775,0.028495839890288335,-2.988747193758263,5.3365795930267055,4.058225651370234,3.660846244784233,1.2271006542077993,0.8656740474039741,5.3791708687751845,6.201417380634691,5.097637848864989,4.774706841031681,-1.5058024101722791,4.027688927483486,4.426553885166536,3.7510692695644874,-1.004586518016581,1.6875598390661637,5.479366438935535,1.7515343666981122
pGP-rh,-2.5519635699116345,1.1763403021179597,-3.2602230170694915,3.6351057482978817,1.358467292299376,2.8242465772453316,0.31012379318450545,2.2497138894907347,2.730328715595021,3.0940854726321816,3.4678678093287454,3.8240886741300124,-3.4367973976907957,3.7847795023716935,-2.056709055771544,-0.7514719531492344,-0.47943965330365224,0.8837071404138885,1.8925201219377816,-2.444458186321671
aGP-rh,-2.5433704012666603,4.4404882977639835,-3.1236763503636595,4.08876948460716,1.1002390879869843,4.498103169303791,0.2553116667928377,3.2355505797675206,1.8851827380456077,3.0215080057557464,4.574348547846399,2.9826617760846443,-3.0160663628962445,3.9645770134160876,-2.043063342722826,0.3011177761879786,-0.007746039809271908,1.6982985492441853,1.713201337286938,-2.6806658268255994
aPUT-rh,-1.9283893912814123,0.7561300808949704,-2.6530116933938377,6.179167217056047,4.324404975373645,4.588083118091981,0.8359694549501304,2.411208972858883,6.177469526247917,6.575685364430694,5.9324817130459255,6.481210922683452,-1.5370197895516324,5.5191123194306115,4.332145517489006,2.8404955980686437,0.10115617919379392,2.3980211757594234,6.463065291602301,1.5611189046949163
